"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000068452.9",295.07096254462,-1.87167288932035,0.412357292158013,-4.53895911364927,5.65325952577488e-06,0.00195613651244745,"Duox2","214593"
"ENSMUSG00000031628.10",6828.09636191856,-1.72041300269209,0.387841747960315,-4.43586336886076,9.17040011426315e-06,0.00311326432558371,"Casp3","12367"
"ENSMUSG00000068086.7",427.093682993083,4.20501131595448,0.949189224731789,4.43010856675357,9.4185659716037e-06,0.00313830106531602,"Cyp2d9","13105"
"ENSMUSG00000032911.7",47.0317274458447,3.67572639016894,0.837739031417196,4.38767474394829,1.14568936608425e-05,0.00374807068435525,"Cspg4","121021"
"ENSMUSG00000042010.17",1068.89918933668,2.57187524562922,0.588619621397703,4.3693331858734,1.24626497161218e-05,0.0040042938632532,"Acacb","100705"
"ENSMUSG00000030762.12",849.635565847233,-2.77046242189331,0.644573246995529,-4.29813436224189,1.72241745803447e-05,0.00543709777586215,"Aqp8","11833"
"ENSMUSG00000028780.14",589.85273422591,2.02108650221954,0.470929628249521,4.29169536376818,1.7731410142509e-05,0.00550071142576144,"Sema3c","20348"
"ENSMUSG00000055827.14",117.192359469525,-3.15954819220414,0.73971539017008,-4.27130249578514,1.94334592857847e-05,0.00592654632083263,"Gsdmc3","270328"
"ENSMUSG00000028712.13",63.7215780407979,3.6273478456525,0.861171296720063,4.21210955296345,2.52996781523642e-05,0.00745643826988331,"Cyp4a31","666168"
"ENSMUSG00000104211.2",295.857093015153,-1.7873007325662,0.424541754629821,-4.20995276218387,2.55424087338677e-05,0.00745643826988331,NA,NA
"ENSMUSG00000004655.6",16772.1666131091,1.70957231397179,0.40620714183953,4.20862200066179,2.56932792048444e-05,0.00745643826988331,"Aqp1","11826"
"ENSMUSG00000027562.13",3923.97388545248,-1.82380782309347,0.43554916037082,-4.18737536203883,2.82198900146006e-05,0.00802464719933942,"Car2","12349"
"ENSMUSG00000052819.7",29.8417038087296,7.03850076197915,1.68192510600554,4.18478845273625,2.85431790561731e-05,0.00802464719933942,"Best2","212989"
"ENSMUSG00000004552.17",565.163773981919,-1.94192131196774,0.464486366176829,-4.18079292176352,2.9049432636638e-05,0.00804132986816965,"Ctse","13034"
"ENSMUSG00000039114.17",790.374964465949,1.93832123042787,0.466282256411548,4.156969740485,3.22496686366215e-05,0.00879194375422319,"Nrn1","68404"
"ENSMUSG00000011305.12",39.6423253130132,3.84806054864151,0.928064706130206,4.1463278618653,3.37849960933145e-05,0.00907303633891057,"Plin5","66968"
"ENSMUSG00000050982.14",5430.9125842831,-2.6167909498481,0.63481830821004,-4.1221100841066,3.75417709929445e-05,0.00993366302170662,"Apol10a","245282"
"ENSMUSG00000001249.15",92.2103559052212,2.48932992133689,0.605117415743675,4.11379652373344,3.8920453220289e-05,0.0101243693124531,"Hpn","15451"
"ENSMUSG00000044309.9",341.16075416942,-2.78273928486634,0.677232439736973,-4.10898699115346,3.97398458287879e-05,0.0101243693124531,"Apol7c","108956"
"ENSMUSG00000004814.11",53.4230561839804,-2.82388637993792,0.68745073401362,-4.1077654589892,3.99505486124697e-05,0.0101243693124531,"Ccl24","56221"
"ENSMUSG00000097730.4",31.787201108956,3.82773338318326,0.946185459388724,4.04543670080931,5.2225676344627e-05,0.0130513415898455,NA,NA
"ENSMUSG00000024222.18",12296.7672095725,2.21991296666697,0.552934353629423,4.01478575548004,5.94998172366958e-05,0.0146654823498612,"Fkbp5","14229"
"ENSMUSG00000031698.15",367.483541620435,1.92430026651854,0.483172668043833,3.98263476762715,6.81554536449086e-05,0.0165719064517951,"Mylk3","213435"
"ENSMUSG00000035186.7",45.5144087362009,-3.58135186345375,0.905065904403138,-3.95700671744511,7.58947973682769e-05,0.0182076678539654,"Ubd","24108"
"ENSMUSG00000032473.14",60.9707345055905,-4.71822383861473,1.19408191023271,-3.95134018711935,7.7714761251664e-05,0.0183989697263315,"Cldn18","56492"
"ENSMUSG00000086841.2",2637.51961146319,1.68579066260156,0.427885619528586,3.93981612296026,8.1544085802421e-05,0.0190548407252333,"2410006H16Rik","69221"
"ENSMUSG00000052085.8",4124.05335899446,-1.57070767386035,0.400012333501193,-3.92664811135297,8.61378581596289e-05,0.0198702369470026,"Dock8","76088"
"ENSMUSG00000025993.11",7566.34577511514,-1.90720967757774,0.486410263628339,-3.92098979028745,8.81859996022991e-05,0.0200851986182806,"Slc40a1","53945"
"ENSMUSG00000062181.15",57.9352543938431,4.42763990724899,1.13110300413643,3.91444447681349,9.06125849515359e-05,0.0203799030129123,"Ces3b","13909"
"ENSMUSG00000022797.17",27234.0438537005,1.94057484201322,0.502435778272301,3.8623341050396,0.000112308828159909,0.0249478116676697,"Tfrc","22042"
"ENSMUSG00000022227.6",864.81787774949,-2.39756184001223,0.623345362792371,-3.84628166522646,0.000119923896029472,0.0263145202592475,"Mcpt1","17224"
"ENSMUSG00000008540.12",28253.0043629682,2.20893338019685,0.576570898825322,3.83115655801781,0.000127542314011685,0.0276490223615933,"Mgst1","56615"
"ENSMUSG00000050097.7",1509.76007898452,-1.68019947282784,0.439682380214197,-3.82139368880171,0.000132699617025808,0.0284245739183972,"Ces2b","234669"
"ENSMUSG00000118167.2",16.2973857700736,7.57677547898498,1.99738786242694,3.79334210521274,0.000148633156695772,0.0313042416655224,NA,NA
"ENSMUSG00000067571.5",47.4635293666779,2.60230794876084,0.687170587496744,3.78698971712489,0.000152483407923842,0.0313042416655224,"Ms4a15","545279"
"ENSMUSG00000095704.3",64.3532943799057,-3.32477991883671,0.878087204016577,-3.7863892146798,0.000152852196046001,0.0313042416655224,NA,NA
"ENSMUSG00000000876.12",4138.94313064889,1.37798407665771,0.363970014647116,3.78598241944113,0.000153102499114432,0.0313042416655224,"Pxmp4","59038"
"ENSMUSG00000066191.13",357.930604292319,1.98454247456895,0.525203991371768,3.7786127051045,0.00015770447410805,0.0318828831755747,"Anks6","75691"
"ENSMUSG00000085620.3",72.5926329651461,-2.16531881187505,0.574686524091931,-3.76782597311899,0.000164675433549939,0.0329222786207116,NA,NA
"ENSMUSG00000029236.5",45.5409507333378,2.6271356095691,0.706240285027399,3.71988920097807,0.000199310194793846,0.0394086630211612,"Nmu","56183"
"ENSMUSG00000058624.14",36690.9722146551,-2.11115653806741,0.568667607710567,-3.71246139122789,0.000205253378630338,0.0401426526271268,"Gda","14544"
"ENSMUSG00000043430.6",22.865261778207,-6.36832849172556,1.72026018283632,-3.70195657335137,0.000213943242701396,0.0413922663002819,"Psapl1","76943"
"ENSMUSG00000033855.16",494.951717969553,1.81787239154867,0.491902483857783,3.69559506447674,0.000219372376626936,0.041991140134558,"Ston1","77057"
"ENSMUSG00000027375.15",59.1046965723262,-3.01133428359298,0.816087476903698,-3.68996506969844,0.000224284846370966,0.0424795499026609,"Mal","17153"
"ENSMUSG00000032679.13",171.624040848294,1.7334126843423,0.471509664527792,3.67630361527856,0.000236637867605692,0.0443523453315543,"Cd59a","12509"
"ENSMUSG00000030605.16",3949.22775193681,1.46135054483216,0.398321152267308,3.66877464707541,0.000243715784163325,0.0446808050435943,"Mfge8","17304"
"ENSMUSG00000068246.7",1639.34422273452,-1.88501241384154,0.514230756878131,-3.66569363778503,0.000246669083478626,0.0446808050435943,"Apol9b","71898"
"ENSMUSG00000071178.12",622.918060768764,1.43574119182384,0.391673861372177,3.66565485578718,0.000246706470972169,0.0446808050435943,"Serpina1b","20701"
"ENSMUSG00000091971.4",46.7041685047333,-3.0606978242977,0.835347166303177,-3.66398300941488,0.000248323264845186,0.0446808050435943,"Hspa1a","193740"
"ENSMUSG00000025091.5",7981.16492157325,1.82477669850212,0.498556386184,3.66012099949043,0.00025209617621921,0.0449105593931905,"Pnliprp2","18947"
"ENSMUSG00000029762.7",845.760887277243,1.50226956407974,0.412017643149307,3.64612921086817,0.000266220151652473,0.0463052747534257,"Akr1b8","14187"
"ENSMUSG00000037440.9",4723.65133757759,1.97428880524226,0.54151231550765,3.64587978648544,0.000266478535264782,0.0463052747534257,"Vnn1","22361"
"ENSMUSG00000029311.17",34047.4749895779,1.66224606770342,0.456065123844781,3.64475593680597,0.000267645671892195,0.0463052747534257,"Hsd17b11","114664"
"ENSMUSG00000000031.17",18.2928573002693,-5.20089774278458,1.43081632433579,-3.63491641402604,0.000278070777060928,0.0476507380157835,"H19","14955"
"ENSMUSG00000102047.2",62.8439967185944,-2.22874398237179,0.614938176024272,-3.62433829817036,0.000289702203827124,0.0489015772802063,"2010010A06Rik","100503117"
"ENSMUSG00000089675.2",45.2026462185123,2.96545217840326,0.818427078036797,3.6233554069553,0.000290805800532544,0.0489015772802063,"Ugt1a8","613123"
"ENSMUSG00000006931.16",136.078174968753,1.87519898347024,0.518317159924507,3.61786012205995,0.000297048853390739,0.0494888890653663,"P3h4","66180"
"ENSMUSG00000020333.18",486.294217719476,-1.42105415467689,0.394155325886937,-3.60531511651962,0.00031177438680928,0.0514656563473336,"Acsl6","216739"
