"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000061958.6",33764.8507410915,1.27512017740961,0.298601863629216,4.27030214048819,1.95208333890722e-05,0.00211573104396531,"Defa38","634825"
"ENSMUSG00000014453.5",106.845640577435,-2.00286217162889,0.46955080567322,-4.2654855394344,1.99467933848495e-05,0.00214359823217665,"Blk","12143"
"ENSMUSG00000059447.14",22583.2510922482,1.16534520379387,0.273252101783301,4.26472549044848,2.00148122230858e-05,0.00214359823217665,"Hadhb","231086"
"ENSMUSG00000029661.17",97.8105045668332,-2.93413561373181,0.690675558871421,-4.24821115507004,2.1548424554718e-05,0.00229427343788469,"Col1a2","12843"
"ENSMUSG00000110266.2",263.209986876564,1.61451074129368,0.380574841204829,4.242294987715,2.21245618791777e-05,0.00234183959071998,"Gm32742","102635385"
"ENSMUSG00000021190.15",2341.7531631561,1.38167625867663,0.325900832288474,4.23956038704935,2.23957942985114e-05,0.00235676672559916,"Lgmn","19141"
"ENSMUSG00000101523.3",24.8225594099322,4.57444441109356,1.08672038547363,4.20940333156618,2.56045961091195e-05,0.00264863199678463,"Csnk2a1-ps3","100039026"
"ENSMUSG00000037548.16",374.930515846938,-1.94992974903968,0.463318013828306,-4.20862062523276,2.56934355769152e-05,0.00264863199678463,"H2-DMb2","15000"
"ENSMUSG00000005534.11",3929.94722730464,1.18717270782383,0.282100361549806,4.208334584549,2.57259751232352e-05,0.00264863199678463,"Insr","16337"
"ENSMUSG00000037685.16",2755.6269014567,1.1219216583193,0.266611119556303,4.2080827693399,2.5754653670392e-05,0.00264863199678463,"Atp8a1","11980"
"ENSMUSG00000005470.9",801.584953382416,-1.21964067051454,0.290130351525653,-4.20376794120659,2.62508072915423e-05,0.0026844045874402,"Asf1b","66929"
"ENSMUSG00000102364.2",14.7512774681771,-7.33508528125014,1.74588736729368,-4.20135079654097,2.65327087552131e-05,0.00269798892398516,NA,NA
"ENSMUSG00000068270.16",91.3093077298013,2.24084035276817,0.533634306499894,4.19920594585801,2.67852622623868e-05,0.00270845389357095,"Shroom4","208431"
"ENSMUSG00000021417.16",6819.51409262447,1.27426173951974,0.304113763707558,4.19008243489134,2.78853129341518e-05,0.00280402313393416,"Eci2","23986"
"ENSMUSG00000018166.9",25348.5133477676,1.05434141936,0.251934679519001,4.18497930246434,2.85192085594393e-05,0.00285192085594393,"Erbb3","13867"
"ENSMUSG00000027513.12",27984.7271473602,1.69654728093886,0.40580470102291,4.1806989339019,2.90614434975689e-05,0.00289017652365932,"Pck1","18534"
"ENSMUSG00000094356.3",14.2336373310406,-7.28367357989899,1.74316260409053,-4.17842464197374,2.93535221572899e-05,0.00290327186364452,"Igkv8-28","434040"
"ENSMUSG00000105373.2",479.701158922803,-12.3583754544467,2.9650783092855,-4.1679760752844,3.07316180940639e-05,0.00302305591033998,NA,NA
"ENSMUSG00000064213.6",193929.293405715,1.14934654477575,0.277020286725183,4.14896164596045,3.33986757162065e-05,0.00326765421872074,"Defa24","503491"
"ENSMUSG00000001249.15",76.3238144741234,2.1879524309082,0.527735784475955,4.14592395526267,3.38446146978022e-05,0.00329348132274312,"Hpn","15451"
"ENSMUSG00000056608.15",39860.4781243359,1.0459988344934,0.252402701459703,4.14416655782264,3.41051804366107e-05,0.00330108965723344,"Chd9","109151"
"ENSMUSG00000068086.7",67.9672509785724,2.41096491805255,0.582258209123273,4.14071434335434,3.46225910003515e-05,0.00333334519737426,"Cyp2d9","13105"
"ENSMUSG00000074444.5",58830.3396405806,1.39453808381896,0.337141293236741,4.13636096139583,3.52856990815332e-05,0.00337921245172355,"Defa30","100038927"
"ENSMUSG00000020875.10",36.1370927279244,-2.92210282539091,0.707467006224267,-4.13037328904722,3.62174672936713e-05,0.00345019030534447,"Hoxb9","15417"
"ENSMUSG00000031298.16",79.3628650931064,2.10193277265626,0.510163295917349,4.12011759661516,3.78679075109213e-05,0.00358852945522343,"Adgrg2","237175"
"ENSMUSG00000014030.16",243.73769208743,-1.74022598236797,0.42281318737142,-4.1158271178502,3.85793407660381e-05,0.00363690660346505,"Pax5","18507"
"ENSMUSG00000032348.7",10256.7064282655,-1.53094589817015,0.372291430977046,-4.11222437796195,3.91865166611412e-05,0.00366203856637019,"Gsta4","14860"
"ENSMUSG00000054169.8",128.620640060982,-2.52014622943671,0.612898780923053,-4.11184735208847,3.92505791091612e-05,0.00366203856637019,"Ceacam10","26366"
"ENSMUSG00000021612.16",83.4737115990957,2.8447952344934,0.693225485703313,4.10370837939866,4.06579906198712e-05,0.00377389553958805,"Slc6a18","22598"
"ENSMUSG00000093401.3",46.510847270709,-2.66775289837705,0.650389657028896,-4.10177632676979,4.09990502177876e-05,0.0037861367803161,NA,NA
"ENSMUSG00000030657.12",702.169632530082,1.18719224142405,0.289966470578464,4.09423972039141,4.2355591685356e-05,0.00389155436296925,"Xylt1","233781"
"ENSMUSG00000068220.7",110.778554834991,-2.26110004801271,0.553150929156419,-4.08767287340726,4.35721968101054e-05,0.00398311496092378,"Lgals1","16852"
"ENSMUSG00000020798.15",138.40246047797,-1.89290707307845,0.463520199376078,-4.08376393440113,4.43120470163221e-05,0.00403039221605744,"Spns3","77577"
"ENSMUSG00000040666.20",39.4549007638428,-2.7090447710266,0.664807237751243,-4.0749327281546,4.602765059882e-05,0.00416246397441352,"Sh3bgr","50795"
"ENSMUSG00000003545.4",317.098295349265,-1.98604538009026,0.487499699757571,-4.0739417502778,4.62240474506695e-05,0.00416246397441352,"Fosb","14282"
"ENSMUSG00000001506.11",96.8904021844252,-2.60520002055071,0.641829415851582,-4.05902246953596,4.92785722151432e-05,0.0043942134046816,"Col1a1","12842"
"ENSMUSG00000034041.6",96.1000085728906,-1.96693457087353,0.484585916219552,-4.05900069531192,4.92831669143848e-05,0.0043942134046816,"Lyl1","17095"
"ENSMUSG00000027496.16",1580.96847184716,-1.27891330651208,0.315387737920136,-4.05505082393511,5.01234032996845e-05,0.00444722352806024,"Aurka","20878"
"ENSMUSG00000031827.14",7682.41479111674,-1.10399380941786,0.272586962769927,-4.05006093541486,5.12042977759691e-05,0.00452096482802459,"Cotl1","72042"
"ENSMUSG00000089809.10",1344.36885313276,-1.54285351655167,0.381851233741367,-4.04045706867264,5.33471303302993e-05,0.00467704228286957,"A930011G23Rik","319818"
"ENSMUSG00000040899.15",26.7166466526495,-3.46054168876445,0.856604717632791,-4.03983496416828,5.34888261079558e-05,0.00467704228286957,"Ccr6","12458"
"ENSMUSG00000087412.5",13.1108624096515,7.15562159282148,1.77419170385656,4.03317272720152,5.50288006273952e-05,0.00478813868817234,"Gm15501","100040298"
"ENSMUSG00000033715.16",2635.25218602754,-1.20810115225443,0.299640132897086,-4.03184026309774,5.5341798362767e-05,0.00478813868817234,"Akr1c14","105387"
"ENSMUSG00000096299.4",39.6477537517266,-2.65197411564317,0.657903783815812,-4.03094522463732,5.55529903047619e-05,0.00478813868817234,NA,NA
"ENSMUSG00000076617.10",2061.48714362186,-1.55832659179467,0.387461087503323,-4.02189185457572,5.77325651219426e-05,0.00495241435406237,"Ighm","16019"
"ENSMUSG00000057337.14",138.626853082247,-1.99414263673106,0.497931640034863,-4.00485222548106,6.20562623235468e-05,0.00529819975498206,"Chst3","53374"
"ENSMUSG00000020108.5",2989.63512724797,1.07467266563651,0.268484178048116,4.00274114269748,6.26127967526726e-05,0.00532061794001584,"Ddit4","74747"
"ENSMUSG00000026246.13",249.348369090322,-1.48699395688138,0.371604307057573,-4.0015519966807,6.29283624598807e-05,0.00532244560992449,"Alppl2","11650"
"ENSMUSG00000089675.2",44.0398065147638,2.80712530439423,0.702719217141242,3.99466136106822,6.47867856780984e-05,0.00545414335243526,"Ugt1a8","613123"
